"response","nobs_ncensored","summary"
"COD","134 (0)","3039 ± 4659 (23.6, 23.6, 32900)"
"BOD","22 (0)","1157 ± 1221 (7.4, 7.4, 4670)"
"DOC","111 (0)","986 ± 1460 (7.7, 7.7, 9604)"
"Propylene_glycol","34 (2)","1290 ± 2301 (8.9, 13, 13000)"
"Acetate","31 (4)","429 ± 598 (5.8, 33.1, 2980)"
"Sodium","31 (0)","639 ± 862 (6.5, 6.5, 3300)"
"X4.Methyl.1H.Benzotriazole","31 (0)","43 ± 75 (1.4, 1.4, 420)"
"X5.Methyl.1H.benzotriazole","31 (0)","52 ± 74 (1.3, 1.3, 380)"
"Ethylene_glycol","34 (21)","19 ± 24 (0.3, 13, 100)"
"Formate","31 (24)","5 ± 17 (0, 2.7, 94)"
